Sector: Finance,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,TTM Ending (Results),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
E & E Enterprises Ltd.,ZSWASTSA,Finance - NBFC,0.33,BSE,13.67,,1,2025-06,0.04,2025-06,7.81,0.66,0,1,2025-03,0,0.02,0.04,"ZSWASTSA,"
IRB InvIT Fund,IRBINVIT,Finance - Investment,0,NSE,60.94,-0.91,1,2019-03,485.9,2025-03,,,,2,2025-03,0.84,9.21,9.48,"IRBINVIT,"
IndiGrid Infrastructure Trust,INDIGRID,Finance - Investment,0,NSE,171.96,-0.07,1,2019-03,211.24,2025-03,,,,2,2025-03,3.88,7.85,7.79,"INDIGRID,"
Interise Trust,INTERISE,Finance - Investment,0,NSE,109.75,,1,,,2025-03,,,,2,2025-03,1.57,-1.25,8.96,"INTERISE,"
Embassy Office Parks REIT,EMBASSY,Finance - Investment,0,NSE,426.13,-0.89,1,2024-03,1206.82,2025-03,,,,2,2025-03,0.87,7.06,3.68,"EMBASSY,"
Energy Infrastructure Trust,ENERGYINF,Finance - Investment,0,BSE,86.50,0.58,1,,,-0,,,,1,-0,,,,"ENERGYINF,"
Mindspace Business Parks REIT,MINDSPACE,Finance - Investment,0,NSE,465.40,0.87,1,,,2025-03,,,,2,2025-03,0.72,3.64,6.74,"MINDSPACE,"
Altius Telecom Infrastructure Trust,ALTIUSINVIT,Finance - Investment,0,BSE,152.00,,1,,,2025-03,,,,2,2025-03,2.9,5.92,8.82,"ALTIUSINVIT,"
Brookfield India Real Estate Trust REIT,BIRET,Finance - Investment,0,NSE,338.72,-1.49,1,,,2025-03,,,,2,2025-03,0.65,1.32,5.87,"BIRET,"
POWERGRID Infrastructure Investment Trust.,PGINVIT,Finance - Investment,0,NSE,97.27,0.19,1,,,2025-03,,,,2,2025-03,0.14,15.36,16.66,"PGINVIT,"
Shrem InvIT,SHREMINVIT,Finance - Investment,0,NSE,104.75,0.72,1,,,2025-03,,,,2,2025-03,1.29,17.78,11.49,"SHREMINVIT,"
National Highways Infra Trust,NHIT,Finance Term Lending,0,NSE,142.00,,1,,,2025-03,,,,2,2025-03,0.99,1.79,3.38,"NHIT,"
Vertis Infrastructure Trust,VERTIS,Finance Term Lending,0,NSE,109.00,0.93,1,,,2025-03,,,,2,2025-03,0.65,10.75,10.47,"VERTIS,"
Anzen India Energy Yield Plus Trust.,ANZEN,Finance - Investment,0,NSE,115.00,0.00,1,,,2025-03,,,,2,2025-03,1.22,-1.13,2.16,"ANZEN,"
Nexus Select Trust,NXST,Finance - Investment,0,NSE,163.01,-1.01,1,2024-03,893.91,2025-03,,,,2,2025-03,0.38,3.32,5.65,"NXST,"
IRB Infrastructure Trust - (IRBIT),IRBIT,Finance - Investment,0,NSE,220.22,,1,,,-0,,,,1,-0,,,,"IRBIT,"
Cube Highways Trust - (CUBEINVIT),CUBEINVIT,Finance - Investment,0,NSE,135.50,0.02,1,,,2025-03,,,,2,2025-03,1.32,-0.29,4.25,"CUBEINVIT,"
Maple Infrastructure Trust,MIT,Finance - Investment,0,BSE,144.00,,1,,,2024-03,,,,2,2025-03,1.55,-3.9,3.87,"MIT,"
Intelligent Supply Chain Infrastructure Trust,ISCITRUST,Finance - Investment,0,BSE,125.00,,1,,,2025-03,,,,2,2025-03,0.86,-3.59,4.89,"ISCITRUST,"
Indus Infra Trust,INDUSINVIT,Finance - Investment,0,NSE,122.37,0.41,1,,,2025-03,,,,2,2025-03,0.44,9.76,9.61,"INDUSINVIT,"
Nxt-Infra Trust - (NXT-INFRA),NXT-INFRA,Finance - Investment,0,NSE,100.20,,1,,,-0,,,,1,-0,,,,"NXT-INFRA,"
Property Share Investment Trust - Propshare Platina,PSPLATINA,Finance - Investment,0,BSE,1010000.00,2.54,1,,,-0,,,,1,-0,,,,"PSPLATINA,"
Enbee Trade And Finance Ltd. - (Rights Entitlements (REs)),750929,Finance - NBFC,0,BSE,0.07,,1,,,-0,,,,1,-0,,,,"750929,"
Moongipa Capital Finance Ltd. - (Rights Entitlements (REs)),MOONGI-RE,Finance - NBFC,0,BSE,2.75,,1,,,-0,,,,1,-0,,,,"MOONGI-RE,"
Aastamangalam Finance Ltd. - (Rights Entitlements (REs)),AASTA-RE,Finance - NBFC,0,BSE,2.22,,1,,,-0,,,,1,-0,,,,"AASTA-RE,"
Capital Infra Trust,CAPINVIT,Finance - Investment,0,NSE,77.93,0.31,1,,,-0,,,,1,-0,,,,"CAPINVIT,"
Pro Fin Capital Services Ltd. - (Rights Entitlements (REs)),PROFIN-RE,Finance - NBFC,0,BSE,0.13,,1,,,-0,,,,1,-0,,,,"PROFIN-RE,"
Anupam Finserv Ltd. - (Rights Entitlements (REs)),ANUFIN-RE,Finance - NBFC,0,BSE,0.13,,1,,,-0,,,,1,-0,,,,"ANUFIN-RE,"
Ganesh Holdings Ltd. - (Rights Entitlements (REs)),750953,Finance - NBFC,0,BSE,6.96,,1,,,-0,,,,1,-0,,,,"750953,"
Kairosoft Ai Solutions Ltd. - (Rights Entitlements (REs)),750956,Finance - Investment,0,BSE,3.46,,1,,,-0,,,,1,-0,,,,"750956,"
NDR INVIT Trust,NDRINVIT,Finance - Investment,0,NSE,122.00,,1,,,2025-03,,,,2,2025-03,0.36,3.52,4.87,"NDRINVIT,"
Sustainable Energy Infra Trust,SEITINVIT,Finance - Investment,0,NSE,109.00,,1,,,-0,,,,1,-0,,,,"SEITINVIT,"
Rajath Finance Ltd. - (Rights Entitlements (REs)),750959,Finance - NBFC,0,BSE,24.69,,1,,,-0,,,,1,-0,,,,"750959,"
Shri Niwas Leasing And Finance Ltd. - (Rights Entitlements (REs)),SHRINI-RE,Finance - Investment,0,BSE,0.54,,1,,,-0,,,,1,-0,,,,"SHRINI-RE,"
Roadstar Infra Investment Trust,ROADSTAR,Finance - Investment,0,BSE,60.00,,1,,,2025-03,,,,2,2025-03,0.8,-0.26,4.54,"ROADSTAR,"
Fusion Finance Ltd. - (Rights Entitlements (REs)),FUSI-RE,Finance - NBFC,0,NSE,15.84,,1,,,-0,,,,1,-0,,,,"FUSI-RE,"
Shri Niwas Leasing and Finance Ltd. - (Partly Paid-up Equity Shares (Rights Issue),SNLFPP,Finance - Investment,0,BSE,7.29,4.89,1,,,-0,,,,1,-0,,,,"SNLFPP,"
Onesource Industries And Ventures Ltd. - (Rights Entitlements (REs)),OIVL-RE,Finance - Others,0,BSE,0.05,,1,,,-0,,,,1,-0,,,,"OIVL-RE,"
GACM Technologies Ltd. - (Rights Entitlements),GATDVR-RE,Finance - Stock Broking,0,NSE,0.17,,1,,,-0,,,,1,-0,,,,"GATDVR-RE,"
GACM Technologies Ltd. - (DVR) - (Rights Entitlements),GATECH-RE1,Finance - Stock Broking,0,NSE,0.17,,1,,,-0,,,,1,-0,,,,"GATECH-RE1,"
Max India Ltd. - (Rights Entitlement),MAXIND-RE,Finance - Investment,0,NSE,33.40,,1,,,-0,,,,1,-0,,,,"MAXIND-RE,"
Fusion Finance Ltd- Partly Paid-up Equity Shares (Rights Issue).,FUSIONPP,Finance - NBFC,0,NSE,99.54,-1.93,1,,,-0,,,,1,-0,,,,"FUSIONPP,"
Mahindra And Mahindra Financial Services Ltd. - (Rights Entitlements (REs)),M&MFIN-RE1,Finance - NBFC,0,NSE,69.50,,1,,,-0,,,,1,-0,,,,"M&MFIN-RE1,"
Yamini Investments Company Ltd. - (Rights Entitlements (REs)),YAMNIN-RE,Finance - Investment,0,BSE,0.19,,1,,,-0,,,,1,-0,,,,"YAMNIN-RE,"
Purple Finance Ltd. - (Rights Entitlements (REs)),PURFIN-RE1,Finance - NBFC,0,BSE,0.59,,1,,,-0,,,,1,-0,,,,"PURFIN-RE1,"
Ugro Capital Ltd. - (Rights Entitlements (REs)),UGRO-RE,Finance - NBFC,0,NSE,3.26,,1,,,-0,,,,1,-0,,,,"UGRO-RE,"
Bharat Bhushan Finance & Commodity Brokers Ltd. - (Rights Entitlements (REs)),BHARAT-RE,Finance - Investment,0,BSE,22.99,,1,,,-0,,,,1,-0,,,,"BHARAT-RE,"
Som Datt Finance Corporation Ltd. - (Rights Entitlements (REs)),SODFC-RE,Finance - Investment,0,BSE,18.13,,1,,,-0,,,,1,-0,,,,"SODFC-RE,"
Capital Trust Ltd. - (Rights Entitlements (REs)),CAPTRU-RE,Finance - NBFC,0,NSE,0.39,,1,,,-0,,,,1,-0,,,,"CAPTRU-RE,"
TVS Infrastructure Trust - (TVSINVIT),TVSINVIT,Finance - Investment,0,NSE,104.60,,1,,,-0,,,,1,-0,,,,"TVSINVIT,"
JMJ Fintech Ltd. - (Rights Entitlements (REs)),JMJFIN-RE,Finance - NBFC,0,BSE,2.46,,1,,,-0,,,,1,-0,,,,"JMJFIN-RE,"
Zodiac Ventures Ltd. - (Rights Entitlements (REs)),ZODIAC-RE,Finance - Investment,0,BSE,0.75,,1,,,-0,,,,1,-0,,,,"ZODIAC-RE,"
Spandana Sphoorty Financial Ltd. - (Rights Entitlements (REs)),SPAND-RE,Finance - NBFC,0,NSE,10.05,,1,,,-0,,,,1,-0,,,,"SPAND-RE,"
Property Share Investment Trust - PropShare Titania,PSTITANIA,Finance - Investment,0,BSE,1055000.00,0.96,1,,,-0,,,,1,-0,,,,"PSTITANIA,"
Indian Infotech & Software Ltd. - (Rights Entitlements (REs)),INDINF-RE1,Finance - Investment,0,BSE,0.03,,1,,,-0,,,,1,-0,,,,"INDINF-RE1,"
Spandana Sphoorty Financial Ltd. - (Partly Paid-up Equity Shares (Rights Issue)),SSFLPP,Finance - NBFC,0,NSE,119.95,1.39,1,,,-0,,,,1,-0,,,,"SSFLPP,"
JMJ Fintech Ltd. - (Partly Paid-up Equity Shares (Rights Issue)),JMJFINPP,Finance - NBFC,0,BSE,3.91,5.96,1,,,-0,,,,1,-0,,,,"JMJFINPP,"
Arunis Abode Ltd. - (Rights Entitlements (REs)),ARUNIS-RE,Finance - Investment,0,BSE,81.27,,1,,,-0,,,,1,-0,,,,"ARUNIS-RE,"
Anantam Highways Trust,ANANTAM,Finance - Investment,0,NSE,105.91,0.42,1,,,-0,,,,1,-0,,,,"ANANTAM,"
LKP Finance Ltd. - (Rights Entitlements (REs)),LKPFIN-RE,Finance - Investment,0,BSE,98.54,,1,,,-0,,,,1,-0,,,,"LKPFIN-RE,"
Star Housing Finance Ltd. - (Rights Entitlements (REs)),STARHF-RE,Finance - Housing,0,BSE,0.11,-8.33,1,,,-0,,,,1,-0,,,,"STARHF-RE,"
Trustedge Capital Ltd. - (Rights Entitlements (REs)),TRUCAP-RE,Finance - Investment,0,BSE,8.32,,1,,,-0,,,,1,-0,,,,"TRUCAP-RE,"
Capital Trust Ltd. - (Rights Entitlements (REs)),CAPTRU-RE1,Finance - NBFC,0,NSE,4.42,-17.69,1,,,-0,,,,1,-0,,,,"CAPTRU-RE1,"
Mangalam Industrial Finance Ltd. - (Rights Entitlements (REs)),MANGIN-RE,Finance - NBFC,0,BSE,0.21,-4.55,1,,,-0,,,,1,-0,,,,"MANGIN-RE,"
Delphi World Money Ltd. - (Rights Entitlements (REs)),DELPH-RE,Finance - Others,0,NSE,8.85,,1,,,-0,,,,1,-0,,,,"DELPH-RE,"
